6867,Atonement,Ian McEwan,"McEwan, Ian",,"=""038572179X""","=""9780385721790""",4,3.89,Anchor Books,Paperback,351,2003,2001,2016/02/15,2016/01/31,,,read,,,,1,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",4,4.45,Bantam,Mass Market Paperback,848,2005,1996,2016/05/24,2016/02/02,,,read,,,,1,,,0,,,,,
784302,Dharma: The Way of Transcendence,A.C. Bhaktivedanta Swami Prabhupāda,"Prabhupāda, A.C. Bhaktivedanta Swami",,"=""0892133260""","=""9780892133260""",4,3.95,Bhaktivedanta Book Trust,Hardcover,145,2001,1996,2016/03/26,2016/02/14,,,read,,,,1,,,1,,,unspecified,,
6375561,The Elephant Whisperer,Lawrence Anthony,"Anthony, Lawrence",Graham Spence,"=""0283070870""","=""9780283070877""",4,4.46,Sidgwick & Jackson Ltd,Hardcover,368,2009,2009,2016/04/02,2016/03/26,,,read,,,,1,,,1,,,unspecified,,
1055398,The Science of Self-Realization,A.C. Bhaktivedanta Swami Prabhupāda,"Prabhupāda, A.C. Bhaktivedanta Swami",,"=""0892131012""","=""9780892131013""",4,4.01,Bhaktivedanta Book Trust,Paperback,360,1997,1977,2016/04/29,2016/04/27,,,read,,,,1,,,0,,,,,
27401883,When I'm Gone,Emily Bleeker,"Bleeker, Emily",,"=""""","=""""",5,3.98,Lake Union Publishing,Kindle Edition,366,2016,2016,2016/05/17,2016/04/29,,,read,,,,1,,,0,,,,,
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""""","=""""",4,3.91,Riverhead Books,Hardcover,323,2015,2015,,2016/10/20,,,read,,,,1,,,0,,,,,
785454,Train to Pakistan,Khushwant Singh,"Singh, Khushwant",,"=""""","=""""",3,3.88,Grove Press,Paperback,192,1994,1956,,2016/11/29,,,read,,,,1,,,0,,,,,
816720,The Witch of Portobello,Paulo Coelho,"Coelho, Paulo",,"=""0007251866""","=""9780007251865""",4,3.53,,Hardcover,320,2007,2006,2016/12/06,2016/11/29,,,read,,,,1,,,0,,,,,
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",4,3.93,Random House,Hardcover,340,1997,1997,,2016/12/06,,,read,,,,1,,,0,,,,,
475235,The Room on the Roof,Ruskin Bond,"Bond, Ruskin",,"=""0140239596""","=""9780140239591""",5,4.08,Penguin Books,Paperback,152,1989,1956,2017/08/30,2016/12/08,,,read,,,,1,,,0,,,,,
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",5,4.25,St. Martin's Press,Paperback,264,2004,1939,2017/08/17,2016/12/08,,,read,,,,1,,,0,,,,,
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""9780671723651""",4,4.18,Gallery Books,Paperback,288,1998,1936,2017/07/18,2017/07/18,,,read,,,,1,,,0,,,,,
93109,The Arabian Nights: Their Best Known Tales,Kate Douglas Wiggin,"Wiggin, Kate Douglas","Nora Archibald Smith, Maxfield Parrish","=""0684195895""","=""9780684195896""",2,3.74,Atheneum Books,Hardcover,344,1993,1909,2017/07/25,2017/07/22,,,read,,,,1,,,0,,,,,
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",4,3.96,William Morrow,Hardcover,320,2006,2005,,2017/07/29,,,read,,,,1,,,0,,,,,
116482,Why God Won't Go Away: Brain Science and the Biology of Belief,Andrew B. Newberg,"Newberg, Andrew B.","Eugene G. D'Aquili, Vince Rause","=""034544034X""","=""9780345440341""",4,3.87,Ballantine Books,Paperback,234,2002,2001,2017/07/30,2017/07/25,,,read,,,,1,,,0,,,,,
28815,Influence: The Psychology of Persuasion,Robert B. Cialdini,"Cialdini, Robert B.",,"=""006124189X""","=""9780061241895""",5,4.18,HarperBusiness,Paperback,320,2006,1984,2017/08/05,2017/07/29,,,read,,,,1,,,0,,,,,
17835351,Nikola Tesla: Imagination and the Man That Invented the 20th Century,Sean Patrick,"Patrick, Sean",,"=""""","=""""",3,3.85,Oculus Publishers,Kindle Edition,46,2013,2013,2017/07/30,2017/07/30,,,read,,,,1,,,0,,,,,
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",4,4.14,"Little, Brown and Company",Hardcover,309,2008,2008,2017/08/18,2017/07/31,,,read,,,,1,,,0,,,,,
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316010669""","=""9780316010665""",4,3.92,Back Bay Books,Paperback,296,2007,2005,2017/08/22,2017/07/31,,,read,,,,1,,,0,,,,,
68984,The Power of Your Subconscious Mind,Joseph Murphy,"Murphy, Joseph",Ian McMahan,"=""0553583182""","=""9780553583182""",2,4.13,Bantam,Mass Market Paperback,304,2001,1962,2017/08/21,2017/08/02,,,read,,,,1,,,0,,,,,
16056498,The Autistic Brain: Thinking Across the Spectrum,Temple Grandin,"Grandin, Temple",Richard Panek,"=""0547636458""","=""9780547636450""",3,4.10,Houghton Mifflin Harcourt,Hardcover,206,2013,2013,2017/09/16,2017/09/08,,,read,,,,1,,,0,,,,,
3015008,Vagrants in the Valley,Ruskin Bond,"Bond, Ruskin",,"=""""","=""9780143333784""",4,3.85,Penguin Books,Paperback,223,2008,1987,2017/08/31,2017/08/29,,,read,,,,1,,,0,,,,,
